ID,collection_date,longitude,latitude
1,2024-01-30,4002168.28982399,2954004.92263292
2,2024-02-17,4009402.80888776,2956068.25675561
3,2024-02-01,4002242.76736293,2950525.41726563
4,2024-03-05,4008630.33992174,2955398.10734096
5,2024-03-13,4008864.94689112,2954369.98499981
6,2024-03-24,4011143.99662614,2959049.88179664
7,2024-03-20,4015737.09211262,2953315.20371575
8,2024-03-29,4003941.44321314,2959592.26997737
9,2024-04-07,4015330.10842321,2963313.34674385
10,2024-03-17,4004123.18104713,2956367.37118099
11,2024-04-10,4014041.22841646,2960440.31855521
12,2024-04-18,3999654.65512663,2968549.73992261
13,2024-04-25,3999238.07607591,2957272.43435661
14,2024-04-26,3999553.94038117,2957039.02142926
15,2024-05-02,3998065.2784128,2954224.20064221
16,2024-05-07,4016695.65005041,2965408.18418258
17,2024-05-03,4007154.31847136,2956264.37496539
18,2024-04-27,4002756.95037128,2959904.3884876
19,2024-05-06,3997959.7084771,2958332.50537054
20,2024-05-13,3999854.86762146,2953324.07782606
21,2024-05-11,3998093.39675867,2954545.3018837
22,2024-05-18,3997671.29463335,2957128.9739846
23,2024-05-24,3998248.76698824,2952063.92681844
24,2024-05-23,4004215.16012,2956461.98910449
25,2024-05-21,4010969.55980067,2952288.55242856
26,2024-05-17,3998950.66497855,2959126.61424394
27,2024-05-24,4008889.89777308,2956684.39961584
28,2024-05-21,4002749.52037456,2959860.15546201
29,2024-05-26,4015001.02783721,2963668.7944725
30,2024-05-22,3997762.95640966,2956832.42726799
31,2024-05-28,4016998.86958043,2965200.43119846
32,2024-05-13,3996462.42875003,2955919.62124219
33,2024-05-31,3996598.67309352,2955114.84047259
34,2024-05-31,3998336.01586433,2958289.92776528
35,2024-06-02,3992246.97412392,2959320.50537423
36,2024-05-29,4004131.43417182,2958935.18506294
37,2024-05-27,3998470.01735282,2957161.61012117
38,2024-06-09,3997388.46643612,2953924.67706225
39,2024-06-12,3993242.01177137,2958937.08650643
40,2024-05-30,3993089.11969484,2957848.73597974
41,2024-06-11,4000603.73720521,2955979.12250638
42,2024-05-30,4016435.35885292,2966332.94989177
43,2024-06-18,4004555.32876957,2955753.59918055
44,2024-06-14,4025211.86126561,2963179.87622664
45,2024-06-10,4005014.32623323,2958613.6956561
46,2024-06-11,4001230.70947484,2953936.22933043
47,2024-06-18,4003535.12440831,2952886.24409164
48,2024-06-16,4003507.01287984,2957265.91586985
49,2024-06-20,4015639.14622226,2964999.7421246
50,2024-06-17,4006114.98107536,2957596.40693439
51,2024-06-06,4015755.57963164,2963769.33155351
52,2024-06-10,4019272.40343186,2979661.97256104
53,2024-06-12,3997659.05597942,2954459.11396357
54,2024-06-22,3998730.88842157,2951701.50316374
55,2024-06-24,3995020.30926667,2955729.60150969
56,2024-06-23,4002777.97350418,2959932.88147653
57,2024-06-06,3993041.03252155,2962962.51758663
58,2024-06-25,4015565.37896353,2961545.76082175
59,2024-06-28,3998151.5143159,2959839.34075171
60,2024-06-24,3998652.49346043,2954064.0617782
61,2024-06-28,3994014.88562711,2951419.42727418
62,2024-06-26,4007393.5994331,2954845.79436378
63,2024-07-05,3999198.03700497,2956198.10822694
64,2024-07-05,3981870.97329639,2960602.23982176
65,2024-06-26,4003677.90792239,2955877.84333719
66,2024-07-01,4010680.15890406,2958670.71082758
67,2024-07-02,4021974.70393989,2947815.98480379
68,2024-07-06,3994610.78376951,2955295.62348278
69,2024-07-02,3994240.34850528,2956837.11622182
70,2024-07-04,4000037.57940403,2951677.03631369
71,2024-07-07,3996178.94078329,2953981.04494171
72,2024-07-08,3995748.18113338,2956300.1612004
73,2024-07-06,3999917.09663198,2957427.25798025
74,2024-07-08,4026192.2195526,2959256.40022498
75,2024-07-05,3994378.942546,2956126.10673238
76,2024-06-27,4015699.58347582,2963866.27972439
77,2024-07-06,4018067.16889816,2966272.07045419
78,2024-07-07,3990913.2594791,2960988.57818445
79,2024-06-18,4023934.63853138,2960021.7905213
80,2024-06-28,4005195.14055044,2958183.14489482
81,2024-07-03,4018231.57038635,2964100.62553112
82,2024-06-24,4028033.93613461,2962370.11293947
83,2024-07-14,4011116.29869313,2964755.68879174
84,2024-07-16,4005094.02859883,2952147.44962023
85,2024-07-13,4004038.85270956,2954351.1104929
86,2024-07-15,3982428.78487045,2960255.17755241
87,2024-06-25,4014039.97813728,2954876.33744301
88,2024-07-17,3997394.61171892,2954183.76462721
89,2024-07-19,3990762.63796327,2961834.34917144
90,2024-07-16,3999123.54008678,2952451.14600851
91,2024-07-04,3993790.93233487,2958385.00362962
92,2024-06-26,3997328.63015091,2958158.8212457
93,2024-07-15,4004456.20279137,2954724.26234984
94,2024-07-18,3990264.69130737,2958828.75644586
95,2024-07-14,4025080.48726894,2958733.82610396
96,2024-07-15,3996626.83397312,2956003.60290881
97,2024-07-18,4016324.53958133,2965324.91476514
98,2024-07-06,4016540.31894495,2966858.93616309
99,2024-07-16,4001649.50207764,2953545.82394626
100,2024-07-20,3995821.23342703,2954707.68005242
101,2024-07-16,3997075.37318173,2955214.2883168
102,2024-07-22,3997981.51651928,2957328.96457502
103,2024-07-19,3993876.41735815,2957480.23914903
